id,t,size,duration,p_j,g_j,lr_j,p_wap,p_wag,n_j,p_sen,p_fem,lr_ij_sd
be_ch.CDEM-F,1991,150,5,CDEM-F,1,5.5,0.5333333333333333,0.26666666666666666,4,1,0,1.3202813552962327
be_ch.CDEM-F,1995,150,5,CDEM-F,1,5.5,0.3888888888888889,0.2222222222222222,7,1,0.14285714285714285,1.1224644629511595
be_ch.CDEM-F,1999,150,5,CDEM-F,0,5.5,0.15384615384615385,0.1282051282051282,6,1,0.16666666666666666,0.5988110825992435
be_ch.CDEM-F,2003,150,5,CDEM-F,0,5.5,0.13793103448275862,0.08620689655172414,8,1,0.375,0.9175001098707853
be_ch.CDEM-V,1991,150,5,CDEM-V,1,5.8,0.2777777777777778,0.09722222222222222,12,1,0,1.1700429275390003
be_ch.CDEM-V,1995,150,5,CDEM-V,1,5.8,0.256,0.04,17,1,0.23529411764705882,0.9826381577879486
be_ch.CDEM-V,1999,150,5,CDEM-V,0,5.8,0.10857142857142857,0.06857142857142857,16,1,0.25,0.7136577235109536
be_ch.CDEM-V,2003,150,5,CDEM-V,0,5.8,0.027932960893854747,0.0111731843575419,21,1,0.3333333333333333,0.18206902691815452
be_ch.ECOLO,1991,150,5,ECOLO,0,2.6,0.018518518518518517,0.018518518518518517,14,1,0,0.04931969619160716
be_ch.ECOLO,1995,150,5,ECOLO,0,2.6,0.05555555555555555,0.05555555555555555,11,1,0.09090909090909091,0.7333475124216653
be_ch.ECOLO,1999,150,5,ECOLO,1,2.6,0.0945945945945946,0,16,1,0.6875,1.0057451857116702
be_ch.ECOLO,2003,150,5,ECOLO,0,2.6,0.19047619047619047,0.11904761904761904,5,1,0.6,1.4978556100543963
be_ch.LIB-F,1991,150,5,LIB-F,0,6.8,0.12857142857142856,0.014285714285714285,14,1,0,0.1965290824313982
be_ch.LIB-F,1995,150,5,LIB-F,0,6.8,0.25609756097560976,0.18292682926829268,11,1,0.09090909090909091,1.315755342460034
be_ch.LIB-F,1999,150,5,LIB-F,1,6.8,0.2830188679245283,0.1509433962264151,14,1,0.21428571428571427,1.0557603994949085
be_ch.LIB-F,2003,150,5,LIB-F,1,6.8,0.1951219512195122,0.056910569105691054,16,1,0.375,1.3222875800840164
be_ch.LIB-V,1991,150,5,LIB-V,0,7,0.07407407407407407,0.037037037037037035,11,1,0,0.5821290296731135
be_ch.LIB-V,1995,150,5,LIB-V,0,7,0.14634146341463414,0.04878048780487805,6,1,0,0.307328419733284
be_ch.LIB-V,1999,150,5,LIB-V,1,7,0.4032258064516129,0.11290322580645161,11,1,0.09090909090909091,1.660305030593112
be_ch.LIB-V,2003,150,5,LIB-V,1,7,0.143646408839779,0.04419889502762431,21,1,0.3333333333333333,0.9590537664719987
be_ch.SOC-F,1991,150,5,SOC-F,1,2.9,0.2619047619047619,0.14285714285714285,10,1,0.2,1.2035311294217443
be_ch.SOC-F,1995,150,5,SOC-F,1,2.9,0.3076923076923077,0,10,1,0.1,0.7537019746999915
be_ch.SOC-F,1999,150,5,SOC-F,1,2.9,0.35789473684210527,0.06315789473684211,14,1,0.21428571428571427,1.4617124876675975
be_ch.SOC-F,2003,150,5,SOC-F,1,2.9,0.23837209302325582,0.05232558139534884,17,1,0.4117647058823529,0.9964801705670293
be_ch.SOC-V,1991,150,5,SOC-V,1,3.3,0.265625,0.1875,10,1,0,1.1402740739469304
be_ch.SOC-V,1995,150,5,SOC-V,1,3.3,0.43037974683544306,0.12658227848101267,14,1,0.07142857142857142,1.2360611725243302
be_ch.SOC-V,1999,150,5,SOC-V,1,3.3,0.4791666666666667,0.15625,13,1,0.23076923076923078,1.4855442452914074
be_ch.SOC-V,2003,150,5,SOC-V,1,3.3,0.3007518796992481,0.07518796992481203,19,1,0.5789473684210527,1.1717516967071069
be_ch.VLAAMS,1991,150,5,VLAAMS,0,9.7,0,0,3,1,0,0
be_ch.VLAAMS,1995,150,5,VLAAMS,0,9.7,0,0,8,1,0,0
be_ch.VLAAMS,1999,150,5,VLAAMS,0,9.7,0,0,10,1,0.1,0
be_ch.VLAAMS,2003,150,5,VLAAMS,0,9.7,0,0,16,1,0.1875,0
be_ch.VOLKS,1991,150,5,VOLKS,0,6.5,0,0,3,1,0,0
be_ch.VOLKS,1995,150,5,VOLKS,0,6.5,0.4722222222222222,0.25,5,1,0.2,1.2502137748235782
be_ch.VOLKS,1999,150,5,VOLKS,0,6.5,0.23214285714285715,0.10714285714285714,7,1,0.42857142857142855,1.0660952770671797
be_ch.VOLKS,2003,150,5,VOLKS,0,6.5,1,0.3333333333333333,2,1,0,0.6210206652492868
be_se.CDEM-F,1995,60,5,CDEM-F,1,5.5,0.5964912280701754,0.24561403508771928,7,1,0.5714285714285714,1.7059858138036272
be_se.CDEM-F,1999,60,5,CDEM-F,0,5.5,0.17647058823529413,0.11764705882352941,5,1,0.4,1.1378062992456908
be_se.CDEM-F,2003,60,5,CDEM-F,0,5.5,0.21794871794871795,0.11538461538461539,4,1,0.25,1.3489774867432962
be_se.CDEM-V,1995,60,5,CDEM-V,1,5.8,0.5535714285714286,0.15476190476190477,10,1,0.3,1.5032123851097936
be_se.CDEM-V,1999,60,5,CDEM-V,0,5.8,0.25280898876404495,0.16853932584269662,10,1,0.4,1.1241730344390706
be_se.CDEM-V,2003,60,5,CDEM-V,0,5.8,0.13523131672597866,0.08896797153024912,10,1,0.3,0.9669979066452578
be_se.ECOLO,1995,60,5,ECOLO,0,2.6,0.3389830508474576,0.1864406779661017,5,1,0.4,1.9705262724263741
be_se.ECOLO,1999,60,5,ECOLO,1,2.6,0.47761194029850745,0.1044776119402985,7,1,0.14285714285714285,1.685884366079418
be_se.ECOLO,2003,60,5,ECOLO,0,2.6,0.1111111111111111,0.1111111111111111,3,1,0.3333333333333333,0.1341640786499873
be_se.LIB-F,1995,60,5,LIB-F,0,6.8,0.4444444444444444,0.3148148148148148,7,1,0,1.9370817520914583
be_se.LIB-F,1999,60,5,LIB-F,1,6.8,0.8148148148148148,0.25925925925925924,7,1,0.2857142857142857,1.8296962401097927
be_se.LIB-F,2003,60,5,LIB-F,1,6.8,0.5321100917431193,0.21100917431192662,8,1,0.375,1.6316953646284456
be_se.LIB-V,1995,60,5,LIB-V,0,7,0.6333333333333333,0.26666666666666666,4,1,0.5,2.21294890522643
be_se.LIB-V,1999,60,5,LIB-V,1,7,0.7391304347826086,0.15217391304347827,8,1,0.5,1.943520831903717
be_se.LIB-V,2003,60,5,LIB-V,1,7,0.2913907284768212,0.052980132450331126,8,1,0.5,1.7468580978377277
be_se.SOC-F,1995,60,5,SOC-F,1,2.9,0.7744360902255639,0.21804511278195488,8,1,0,1.5645704041949904
be_se.SOC-F,1999,60,5,SOC-F,1,2.9,0.675,0.0625,9,1,0.2222222222222222,1.658699386219864
be_se.SOC-F,2003,60,5,SOC-F,1,2.9,0.3384615384615385,0.1076923076923077,12,1,0.3333333333333333,1.6046240001377836
be_se.SOC-V,1995,60,5,SOC-V,1,3.3,0.7743362831858407,0.47345132743362833,9,1,0.4444444444444444,1.8487805956147552
be_se.SOC-V,1999,60,5,SOC-V,1,3.3,0.8571428571428571,0.047619047619047616,5,1,0.6,2.0012101601938657
be_se.SOC-V,2003,60,5,SOC-V,1,3.3,0.5308641975308642,0.1111111111111111,10,1,0.5,1.6121065043214238
be_se.VLAAMS,1995,60,5,VLAAMS,0,9.7,0.391304347826087,0.13043478260869565,2,1,0,2.309607264078833
be_se.VLAAMS,1999,60,5,VLAAMS,0,9.7,0,0,3,1,0.3333333333333333,0
be_se.VLAAMS,2003,60,5,VLAAMS,0,9.7,0.047619047619047616,0.047619047619047616,8,1,0.25,0.836821926075429
be_se.VOLKS,1995,60,5,VOLKS,0,6.5,0.5344827586206896,0.4827586206896552,2,1,0,2.58060531843283
be_se.VOLKS,1999,60,5,VOLKS,0,6.5,0.9090909090909091,0.9090909090909091,2,1,0,2.164165222692369
bg.A,2005,240,5,A,0,5.5,0.25609756097560976,0.25609756097560976,12,0.25,0.16666666666666666,1.2163203590941178
bg.A,2009,240,5,A,0,5.5,0.24537037037037038,0.10648148148148148,13,0.23076923076923078,0,1.2211300244385794
bg.A,2013,240,2,A,0,5.5,0,0,5,0,0.2,0
bg.A,2014,240,2,A,0,5.5,0,0,3,1,0,0
bg.BBZ,2014,240,2,BBZ,0,7.4,0.2125,0.1125,6,0.3333333333333333,0,1.5002153525064672
bg.BNS,2005,240,5,BNS,0,5.8,0.23333333333333334,0.2,10,0.3,0.1,1.1600492600378165
bg.DPS,2005,240,5,DPS,1,4.6,0.8809523809523809,0.011904761904761904,16,0.6875,0.0625,1.34184809474183
bg.DPS,2009,240,5,DPS,0,4.6,0.057692307692307696,0,7,0.8571428571428571,0,0.37073221587356664
bg.DPS,2013,240,2,DPS,1,4.6,0.4166666666666667,0.027777777777777776,9,0.5555555555555556,0.1111111111111111,0.847120047221807
bg.DPS,2014,240,2,DPS,0,4.6,0,0,4,0.75,0.25,0
bg.DSB,2005,240,5,DSB,0,7.9,0.3333333333333333,0.09803921568627451,11,0.8181818181818182,0.36363636363636365,1.6289323604498238
bg.GERB,2009,240,5,GERB,1,7.4,0.047079337401918046,0.047079337401918046,51,0.0196078431372549,0.37254901960784315,0.4600079083015634
bg.GERB,2013,240,2,GERB,0,7.4,0.008241758241758242,0.008241758241758242,24,0.5833333333333334,0.4583333333333333,0.39543133377864825
bg.GERB,2014,240,2,GERB,1,7.4,0.313404050144648,0.2709739633558341,23,0.9130434782608695,0.2608695652173913,1.2002150818660404
bg.KB,2005,240,5,KB,1,2.9,0.21052631578947367,0.022556390977443608,34,0.5,0.29411764705882354,1.0642831683675615
bg.KB,2009,240,5,KB,0,2.9,0.007142857142857143,0,24,0.625,0.20833333333333334,0.5385164807134503
bg.KB,2013,240,2,KB,1,2.9,0.0945945945945946,0.017374517374517374,35,0.4857142857142857,0.17142857142857143,0.6779024060196785
bg.KB,2014,240,2,KB,1,2.9,0.034782608695652174,0.02318840579710145,19,0.7368421052631579,0.15789473684210525,1.1334350388860617
bg.NMS,2005,240,5,NMS,1,5.8,0.16666666666666666,0.011111111111111112,23,0.782608695652174,0.6086956521739131,0.9024019018965905
bg.ODS,2005,240,5,ODS,0,7,0.30120481927710846,0.20481927710843373,11,0.36363636363636365,0.36363636363636365,1.313953225670476
bg.RB,2014,240,2,RB,0,7.4,0.11262798634812286,0.09215017064846416,24,0.25,0.125,1.0219627971076983
bg.RZS,2009,240,5,RZS,0,8.7,0.1509433962264151,0.009433962264150943,5,0.2,0.2,1.575127182492144
bg.SK,2009,240,5,SK,0,7.4,0.05701754385964912,0.008771929824561403,11,0.8181818181818182,0.09090909090909091,0.984633336189755
ch_cn.ADI,1995,200,5,ADI,0,3.3,0.6,0,1,0,1,2.501599488327418
ch_cn.DS,1995,200,5,DS,0,9.4,0.4117647058823529,0,1,1,0,0.40414518843273867
ch_cn.FPS,1995,200,5,FPS,0,8.1,0.8656716417910447,0.7238805970149254,2,1,0,0.9957547065468997
ch_cn.LEGA,1995,200,5,LEGA,0,8.7,1,0.603448275862069,1,1,0,2.442499311077771
ch_cn.LEGA,1999,200,5,LEGA,0,8.7,0.96875,0.5625,1,1,0,2.0661538992736896
ch_cn.MCG,2011,200,5,MCG,0,8.7,1,0.7666666666666667,2,0,0,2.6491771429792537
ch_cn.PBD,1999,200,5,PBD,0,7.4,0.9459459459459459,0.9459459459459459,1,0,0,1.1424842538390936
ch_cn.PBD,2003,200,5,PBD,0,7.4,0.7,0.7,2,1,0.5,1.0873515224311472
ch_cn.PBD,2011,200,5,PBD,1,7.4,0.8448275862068966,0.2413793103448276,2,0,0.5,2.183084318769466
ch_cn.PCS,1995,200,5,PCS,0,6.2,1,0.2222222222222222,1,1,0,0.9963823451756749
ch_cn.PCS,2003,200,5,PCS,0,6.2,1,0.6666666666666666,1,1,0,1.7039170558842744
ch_cn.PDC,1995,200,5,PDC,1,4.7,0.4230769230769231,0.0641025641025641,8,0.625,0.25,1.4040068653251003
ch_cn.PDC,1999,200,5,PDC,1,4.7,0.432967032967033,0.06153846153846154,15,0.26666666666666666,0.26666666666666666,1.578387516877801
ch_cn.PDC,2003,200,5,PDC,1,4.7,0.5059642147117296,0.09741550695825049,14,0.6428571428571429,0.35714285714285715,1.864709392159528
ch_cn.PDC,2011,200,5,PDC,1,4.7,0.5425219941348973,0.15249266862170088,21,0.42857142857142855,0.2857142857142857,1.8591527781780353
ch_cn.PDT,1995,200,5,PDT,0,0.5,0.7777777777777778,0.7777777777777778,3,0.6666666666666666,0.3333333333333333,0.4368139782709606
ch_cn.PDT,1999,200,5,PDT,0,0.5,0.7454545454545455,0.6181818181818182,2,1,0,1.69650885423275
ch_cn.PDT,2003,200,5,PDT,0,0.5,0.8538461538461538,0.5153846153846153,3,0.3333333333333333,0.3333333333333333,1.9996064202156403
ch_cn.PES,1995,200,5,PES,0,1.7,0.6666666666666666,0.6111111111111112,2,0.5,1,1.453075555994447
ch_cn.PES,1999,200,5,PES,0,1.7,0.8505747126436781,0.7471264367816092,4,0.25,0.5,1.8114347158079318
ch_cn.PES,2003,200,5,PES,0,1.7,0.574108818011257,0.46153846153846156,9,0.4444444444444444,0.5555555555555556,1.6149764152649961
ch_cn.PES,2011,200,5,PES,0,1.7,0.5760869565217391,0.47282608695652173,5,0.8,0.2,1.944254654087682
ch_cn.PEV,1995,200,5,PEV,0,4.9,0.875,0.5,1,1,0,2.0234341388554546
ch_cn.PEV,1999,200,5,PEV,0,4.9,0.8518518518518519,0.5925925925925926,2,0,0,2.1512071745167427
ch_cn.PEV,2003,200,5,PEV,0,4.9,0.5483870967741935,0.1935483870967742,2,1,0,2.457371862496239
ch_cn.PEV,2011,200,5,PEV,0,4.9,0.9444444444444444,0.7222222222222222,2,1,1,1.5347689966297446
ch_cn.PLD,1995,200,5,PLD,0,7.3,0.7450980392156863,0.6470588235294118,2,1,0,1.951427010135538
ch_cn.PLD,1999,200,5,PLD,0,7.3,0.8834586466165414,0.7969924812030075,3,0.3333333333333333,0.6666666666666666,1.9716223623261724
ch_cn.PLD,2003,200,5,PLD,0,7.3,0.9047619047619048,0.9047619047619048,2,0.5,0.5,1.5477476047739902
ch_cn.PLR,1995,200,5,PLR,1,6.3,0.5374331550802139,0.08823529411764706,6,0.6666666666666666,0.16666666666666666,1.6108166755885307
ch_cn.PLR,1999,200,5,PLR,1,6.3,0.6021840873634945,0.09204368174726989,15,0.7333333333333333,0.2,1.9345229052434665
ch_cn.PLR,2003,200,5,PLR,1,6.3,0.5807622504537205,0.10707803992740472,19,0.5263157894736842,0.21052631578947367,1.8055837932097887
ch_cn.PLR,2011,200,5,PLR,1,6.3,0.7154150197628458,0.10869565217391304,14,0.5714285714285714,0.2857142857142857,2.156163546831045
ch_cn.PSS,1995,200,5,PSS,1,1.8,0.09131403118040089,0.06310319227913883,30,0.5,0.3333333333333333,0.9435705538296647
ch_cn.PSS,1999,200,5,PSS,1,1.8,0.27399103139013453,0.13991031390134528,36,0.75,0.3333333333333333,1.674632902945828
ch_cn.PSS,2003,200,5,PSS,1,1.8,0.23827217835578263,0.13701811425917323,32,0.65625,0.5625,1.6105812581493533
ch_cn.PSS,2011,200,5,PSS,1,1.8,0.20603907637655416,0.12255772646536411,29,0.5862068965517241,0.4482758620689655,1.6972688489266403
ch_cn.PVL,2003,200,5,PVL,0,2.6,1,0.2727272727272727,1,0,0,1.2817601534253946
ch_cn.PVL,2011,200,5,PVL,0,2.6,0.7353846153846154,0.5907692307692308,7,0.14285714285714285,0.42857142857142855,2.267273918863654
ch_cn.UDC,1995,200,5,UDC,1,7.4,0.5528089887640449,0.15955056179775282,7,0.42857142857142855,0,1.0253703508412735
ch_cn.UDC,1999,200,5,UDC,1,7.4,0.40783744557329465,0.0841799709724238,12,0.8333333333333334,0,1.226250544301056
ch_cn.UDC,2003,200,5,UDC,1,7.4,0.2908777969018933,0.08950086058519793,12,0.8333333333333334,0,1.4140499685063594
ch_cn.UDC,2011,200,5,UDC,1,7.4,0.282437745740498,0.06946264744429882,35,0.6571428571428571,0.14285714285714285,1.7048749153046983
ch_cn.UDF,2003,200,5,UDF,0,8.7,0.9230769230769231,0.6153846153846154,1,1,0,1.2011212710181713
ch_cs.PDC,1995,46,5,PDC,1,4.7,0.09090909090909091,0,3,0.6666666666666666,0.3333333333333333,0.7202242315577446
ch_cs.PDC,1999,46,5,PDC,1,4.7,0.6428571428571429,0,3,0,0,1.3492203230851472
ch_cs.PDC,2003,46,5,PDC,1,4.7,0.336,0,6,0.8333333333333334,0,1.3075168176512648
ch_cs.PDC,2011,46,5,PDC,1,4.7,0.6086956521739131,0.07246376811594203,3,1,0,1.8152790681429938
ch_cs.PES,2011,46,5,PES,0,1.7,1,0.8,1,1,0,2.245662485771181
ch_cs.PLD,1995,46,5,PLD,0,7.3,1,1,1,0,0,1.5489450504232773
ch_cs.PLR,1995,46,5,PLR,1,6.3,0.5306122448979592,0.05442176870748299,4,0.75,0.25,1.4323676608983675
ch_cs.PLR,1999,46,5,PLR,1,6.3,0.5027932960893855,0,9,0.6666666666666666,0.3333333333333333,1.188472861253249
ch_cs.PLR,2003,46,5,PLR,1,6.3,0.5,0,2,1,0.5,0.9711387732626303
ch_cs.PLR,2011,46,5,PLR,1,6.3,0.6086956521739131,0.043478260869565216,4,0.25,0,1.0371746358721095
ch_cs.PSS,1999,46,5,PSS,1,1.8,0.6875,0,2,1,0.5,2.150261611990504
ch_cs.PSS,2003,46,5,PSS,1,1.8,0.5108695652173914,0,5,0.2,0.4,2.057878729387343
ch_cs.PSS,2011,46,5,PSS,1,1.8,0.21428571428571427,0.07142857142857142,2,1,0.5,1.3829614664127188
ch_cs.UDC,1995,46,5,UDC,1,7.4,0.8181818181818182,0.022727272727272728,2,0.5,0,1.0617005120126755
ch_cs.UDC,1999,46,5,UDC,1,7.4,0.7411764705882353,0,3,0.3333333333333333,0,1.0526340587015326
ch_cs.UDC,2003,46,5,UDC,1,7.4,0.5362318840579711,0,7,0.8571428571428571,0,1.1168544348580451
ch_cs.UDC,2011,46,5,UDC,1,7.4,0.42857142857142855,0,1,1,0,1.023067283548187
cz_po.ANO2011,2013,200,3,ANO2011,1,6,0.3651452282157676,0.18672199170124482,11,0,0.36363636363636365,1.3404985361669506
cz_po.CSSD,1996,200,3,CSSD,0,3,0.0574468085106383,0.00851063829787234,17,0.47058823529411764,0.23529411764705882,1.4548954616504286
cz_po.CSSD,1998,200,5,CSSD,1,3,0.20601851851851852,0.13194444444444445,30,0.6,0.16666666666666666,1.6092127654153565
cz_po.CSSD,2002,200,5,CSSD,1,3,0.48044692737430167,0.30446927374301674,29,0.5172413793103449,0.20689655172413793,1.962391481855238
cz_po.CSSD,2010,200,4,CSSD,0,3,0.02928615009151922,0.025015253203172667,19,0.7894736842105263,0.15789473684210525,0.7103173425277934
cz_po.CSSD,2013,200,3,CSSD,1,3,0.3181818181818182,0.11888111888111888,10,0.7,0.1,1.621585539750813
cz_po.KDU,1996,200,3,KDU,1,5.8,0.15625,0.09375,5,0.6,0.2,0.9780111180996036
cz_po.KDU,1998,200,5,KDU,0,5.8,0.5123287671232877,0.2493150684931507,15,0.6666666666666666,0.13333333333333333,1.684698847949746
cz_po.KDU,2002,200,5,KDU,1,5.8,0.33458646616541354,0.15037593984962405,18,0.6666666666666666,0.16666666666666666,1.8369240428534452
cz_po.KDU,2013,200,3,KDU,1,5.8,0.8615384615384616,0.4205128205128205,2,0,0,1.8587307852012782
cz_po.KSCM,1996,200,3,KSCM,0,0.7,0.24096385542168675,0.07228915662650602,7,0.5714285714285714,0.2857142857142857,2.4401641520457638
cz_po.KSCM,1998,200,5,KSCM,0,0.7,0.08450704225352113,0.07042253521126761,9,1,0.2222222222222222,1.322157752915856
cz_po.KSCM,2002,200,5,KSCM,0,0.7,0.14655172413793102,0.14224137931034483,16,0.375,0.3125,1.2148312950269615
cz_po.KSCM,2010,200,4,KSCM,0,0.7,0.02336448598130841,0.02336448598130841,16,0.8125,0.4375,1.07984184093557
cz_po.KSCM,2013,200,3,KSCM,0,0.7,0.04477611940298507,0.04477611940298507,10,0.9,0.4,0.9356064697413392
cz_po.ODA,1996,200,3,ODA,1,7.1,0.25,0,3,0.6666666666666666,0,0.360555127546399
cz_po.ODS,1996,200,3,ODS,1,7.4,0.25,0.12962962962962962,7,0.7142857142857143,0.42857142857142855,1.52525016963922
cz_po.ODS,1998,200,5,ODS,1,7.4,0.32597623089983024,0.21901528013582344,29,0.3448275862068966,0.1724137931034483,1.6159108076184665
cz_po.ODS,2002,200,5,ODS,0,7.4,0.034444444444444444,0.027777777777777776,23,0.7391304347826086,0.08695652173913043,0.8643792372978528
cz_po.ODS,2010,200,4,ODS,1,7.4,0.5457142857142857,0.11142857142857143,24,0.625,0.16666666666666666,1.6047879608242948
cz_po.ODS,2013,200,3,ODS,0,7.4,0.031496062992125984,0.023622047244094488,4,0.5,0,0.35957027149340925
cz_po.SPR,1996,200,3,SPR,0,9.8,0,0,1,0,0,0
cz_po.TOP09,2010,200,4,TOP09,1,7.4,0.42035398230088494,0.17256637168141592,14,0.21428571428571427,0.21428571428571427,1.9621993284234238
cz_po.TOP09,2013,200,3,TOP09,0,7.4,0.4021164021164021,0.3492063492063492,12,0.6666666666666666,0.4166666666666667,1.20239646774971
cz_po.US,1998,200,5,US,0,7.2,0.5191011235955056,0.2876404494382023,16,0.25,0.1875,1.3943499971661073
cz_po.USVIT,2013,200,3,USVIT,0,7.4,0.12099644128113879,0.07473309608540925,9,0.2222222222222222,0.2222222222222222,1.4877164634035929
cz_po.VV,2010,200,4,VV,1,6,0.43119266055045874,0.2981651376146789,16,0,0.3125,1.9289852113564359
cz_se.4KOAL,1998,81,5,4KOAL,0,6.7,0.7083333333333334,0.375,2,0.5,0,1.6832884912953978
cz_se.4KOAL,2002,81,5,4KOAL,0,6.7,0.3333333333333333,0.3333333333333333,1,1,0,2.1361959960016152
cz_se.CSSD,1996,81,3,CSSD,0,3,0.5238095238095238,0.5238095238095238,4,0,0,2.1733231083604054
cz_se.CSSD,1998,81,5,CSSD,1,3,1,0.5,1,1,0,2.6244999523718797
cz_se.CSSD,2002,81,5,CSSD,1,3,0.75,0.5,1,1,0,1.9311050377094114
cz_se.CSSD,2010,81,4,CSSD,0,3,0.08759124087591241,0.021897810218978103,6,0.6666666666666666,0.3333333333333333,0.974283484760226
cz_se.CSSD,2013,81,3,CSSD,1,3,0.08839779005524862,0.06629834254143646,6,0.6666666666666666,0,1.0705794463173637
cz_se.KDU,1996,81,3,KDU,1,5.8,0.6666666666666666,0.4,2,0,0,1.9345111354896185
cz_se.KDU,1998,81,5,KDU,0,5.8,0.62,0.1,4,0.75,0,0.9166403830492822
cz_se.KDU,2010,81,4,KDU,0,5.8,0,0,1,0,0,0
cz_se.KDU,2013,81,3,KDU,1,5.8,1,0.5,1,1,0,1.4142135623730951
cz_se.NEZ,2002,81,5,NEZ,0,5.5,1,0.14285714285714285,1,1,1,1.0126045454015924
cz_se.ODA,1996,81,3,ODA,1,7.1,1,0.3333333333333333,1,0,0,2.227105745132009
cz_se.ODA,1998,81,5,ODA,0,7.1,0.896551724137931,0.20689655172413793,2,1,0.5,1.8051807489090625
cz_se.ODS,1996,81,3,ODS,1,7.4,0.25,0.125,3,0,0,1.4988340879458295
cz_se.ODS,1998,81,5,ODS,1,7.4,0.10526315789473684,0.07894736842105263,3,0.6666666666666666,0,0.8185660756274153
cz_se.ODS,2002,81,5,ODS,0,7.4,0.06086956521739131,0.017391304347826087,5,1,0,0.2840154674521653
cz_se.ODS,2010,81,4,ODS,1,7.4,0.2727272727272727,0.2727272727272727,10,0.8,0.2,1.8598047392639738
cz_se.ODS,2013,81,3,ODS,0,7.4,0.6296296296296297,0.4444444444444444,2,0.5,0,2.5295491787310733
cz_se.PIR,2013,81,3,PIR,0,5,1,0.9090909090909091,1,0,0,1.8705020122356932
cz_se.SNKED,2002,81,5,SNKED,0,6.1,0.7142857142857143,0.2857142857142857,1,0,0,0.7739816658342878
cz_se.SZ,2013,81,3,SZ,0,4.1,1,0.6153846153846154,1,0,1,1.8066543665017945
cz_se.US,1998,81,5,US,0,7.2,0.5,0,1,0,0,0.5804507532281072
cz_se.US,2002,81,5,US,1,7.2,0.5909090909090909,0.2727272727272727,2,1,0,0.6722681343366237
dk.DFP,2004,179,4,DFP,0,9,0,0,9,1,0.3333333333333333,0
dk.DFP,2005,179,3,DFP,1,9,0.04830917874396135,0.04830917874396135,15,1,0.3333333333333333,1.9031664585845884
dk.DFP,2011,179,5,DFP,0,9,0.09893048128342247,0.012032085561497326,20,1,0.3,1.5132947408716753
dk.DFP,2015,179,1,DFP,0,9,0.05970149253731343,0,5,1,0.4,0.7372611524884796
dk.E,2004,179,4,E,0,0.9,0.2967032967032967,0,6,1,0.16666666666666666,1.8257003637458744
dk.E,2005,179,3,E,0,0.9,0.1680327868852459,0.004098360655737705,5,1,0.2,1.5845848323485527
dk.E,2011,179,5,E,1,0.9,0.023715415019762844,0,14,1,0.35714285714285715,0.32592530954028737
