id,t,size,duration,p_j,g_j,lr_j,p_wap,p_wag,n_j,p_sen,p_fem,lr_ij_sd
dk.E,2015,179,1,E,0,0.9,0.043859649122807015,0,6,1,0.5,1.031869863787654
dk.KFP,2004,179,4,KFP,1,7.2,1,1,1,1,0,0.531350480693613
dk.KFP,2005,179,3,KFP,1,7.2,0.8333333333333334,0.6666666666666666,2,1,0,1.2139467313958492
dk.KFP,2011,179,5,KFP,0,7.2,0.45161290322580644,0.010752688172043012,7,1,0.42857142857142855,1.285294181141217
dk.LA,2005,179,3,LA,0,6,1,0.03571428571428571,1,1,0,1.7741194999210173
dk.LA,2011,179,5,LA,0,6,0.022058823529411766,0,8,1,0.25,0.5102979917695546
dk.RV,2004,179,4,RV,0,4.9,0.5074626865671642,0.1044776119402985,7,1,0.7142857142857143,1.6911976111283393
dk.RV,2005,179,3,RV,0,4.9,0.34146341463414637,0.03048780487804878,12,1,0.5,1.2964476650613628
dk.SD,2004,179,4,SD,0,3.8,0.20833333333333334,0.01893939393939394,23,1,0.34782608695652173,1.0619952898129958
dk.SD,2005,179,3,SD,0,3.8,0.36363636363636365,0,27,1,0.4074074074074074,1.1106741821532125
dk.SD,2011,179,5,SD,1,3.8,0.9047619047619048,0.47619047619047616,2,1,0,2.8082206005184975
dk.SD,2015,179,1,SD,0,3.8,1,0,1,1,0,2.052640575778754
dk.SF,2011,179,5,SF,0,7.4,1,1,1,1,0,1.1547005383792515
dk.SFP,2004,179,4,SFP,0,2.1,0.40860215053763443,0,9,1,0.3333333333333333,1.1553069040532873
dk.SFP,2005,179,3,SFP,0,2.1,0.6519337016574586,0,12,0.9166666666666666,0.4166666666666667,1.3057960139712597
dk.SFP,2011,179,5,SFP,1,2.1,0.13157894736842105,0.06578947368421052,12,1,0.6666666666666666,1.9307931913412657
dk.SFP,2015,179,1,SFP,0,2.1,0,0,5,1,0.4,0
dk.V,2004,179,4,V,1,7.3,0.9285714285714286,0.6428571428571429,2,1,0.5,1.812426243710041
dk.V,2005,179,3,V,1,7.3,1,0.5,1,1,0,2.3300572239038826
dk.V,2011,179,5,V,0,7.3,0.63003663003663,0.03296703296703297,25,1,0.24,1.0337431361471505
ee.EKRE,2015,101,1,EKRE,0,7.4,0,0,1,0,0,0
ee.EV,2015,101,1,EV,0,7.4,0.5384615384615384,0.15384615384615385,2,1,0,1.739068421413883
ee.K,2015,101,1,K,0,4,0.11764705882352941,0,2,0.5,0.5,1.1119188982851387
ee.RE,2015,101,1,RE,1,7.9,0.4523809523809524,0.023809523809523808,2,1,0,1.8724002495570309
ee.SDE,2015,101,1,SDE,1,4.2,1,0.2,1,1,0,1.8297540818372289
fi.KD,2003,200,4,KD,0,7.2,0.4357638888888889,0.1840277777777778,6,1,0.5,1.7026587657741532
fi.KD,2007,200,4,KD,0,7.2,0.20132013201320131,0.066006600660066,7,1,0.5714285714285714,1.8601496372170243
fi.KESK,2003,200,4,KESK,1,5.8,0.6122881355932204,0.4110169491525424,21,1,0.047619047619047616,1.5976017942053327
fi.KESK,2007,200,4,KESK,1,5.8,0.6709401709401709,0.4081196581196581,14,1,0.5,1.6321899066414316
fi.KOK,2003,200,4,KOK,0,7.2,0.33915022761760244,0.19347496206373294,33,0.9696969696969697,0.42424242424242425,1.7119093768202405
fi.KOK,2007,200,4,KOK,1,7.2,0.5921273031825796,0.3232830820770519,21,1,0.47619047619047616,1.7169937109482447
fi.PS,2003,200,4,PS,0,6.6,0,0,3,1,0,0
fi.PS,2007,200,4,PS,0,6.6,0.5571428571428572,0.2714285714285714,3,0.6666666666666666,0,1.771889340995846
fi.R,2003,200,4,R,1,6.4,0.25,0.07692307692307693,4,1,0.5,1.258169939490948
fi.R,2007,200,4,R,1,6.4,0.7336448598130841,0.3364485981308411,5,1,0.8,1.8108605594544265
fi.SD,2003,200,4,SD,1,3.6,0.6336056009334889,0.4177362893815636,26,1,0.5769230769230769,1.7290032225659528
fi.SD,2007,200,4,SD,0,3.6,0.18928262748487468,0.09031979256698358,25,0.96,0.48,1.4614075210674957
fi.VAS,2003,200,4,VAS,0,2.2,0.3889943074003795,0.19734345351043645,13,1,0.23076923076923078,1.9464272566735674
fi.VAS,2007,200,4,VAS,0,2.2,0.35673076923076924,0.09134615384615384,11,1,0.2727272727272727,1.8405359560815868
fi.VIHR,2003,200,4,VIHR,0,3.6,0.4023354564755839,0.1613588110403397,14,0.9285714285714286,0.7857142857142857,1.7294977263784221
fi.VIHR,2007,200,4,VIHR,1,3.6,0.8035714285714286,0.5803571428571429,3,1,0.6666666666666666,1.6209863166157392
fi.VR,2003,200,4,VR,0,2.2,1,0.1111111111111111,1,1,0,2.0222624593621505
fi.VR,2007,200,4,VR,0,2.2,0.9701492537313433,0.029850746268656716,2,1,0,1.5360701589585277
fr_an.CEN,1986,577,3,CEN,1,6.1,0.24699238890252884,0.010311809477043948,51,0.49019607843137253,0.0196078431372549,0.7337896579355464
fr_an.CEN,1997,577,6,CEN,0,6.1,0.2682229633158647,0.007146260123868509,68,0.8970588235294118,0.029411764705882353,0.747010003950678
fr_an.CEN,2002,577,6,CEN,1,6.1,0.8124063530116872,0.00239736290080911,19,0.631578947368421,0.05263157894736842,0.624710099701142
fr_an.CEN,2007,577,6,CEN,1,6.1,0.6790945406125166,0.007989347536617843,13,0.8461538461538461,0.07692307692307693,0.76420259724458794
fr_an.COM,1997,577,6,COM,1,1.4,0.1125,0.05,5,0.6,0,1.2448984504363132
fr_an.COM,2002,577,6,COM,0,1.4,0.017743979721166033,0.017743979721166033,17,0.8823529411764706,0.17647058823529413,1.1613622233260932
fr_an.COM,2007,577,6,COM,0,1.4,0.02658045977011494,0.011494252873563218,22,0.7727272727272727,0.22727272727272727,1.1816365566297655
fr_an.DRO,1986,577,3,DRO,1,7.5,0.3568257491675916,0.008324084350721421,33,0.6363636363636364,0,0.7411232261091782
fr_an.DRO,1997,577,6,DRO,0,7.5,0.27654086342655443,0.0027151778441487917,67,0.8507462686567164,0.04477611940298507,0.7020843561887412
fr_an.DRO,2002,577,6,DRO,1,7.5,0.02118073016192296,4.827516846022327e-4,211,0.5023696682464455,0.11374407582938388,0.26764581632342765
fr_an.DRO,2007,577,6,DRO,1,7.5,0.02653447424716143,0.008268882672371235,189,0.7195767195767195,0.14285714285714285,0.5152834986997766
fr_an.FN,1986,577,3,FN,0,9.7,0.6078947368421053,0.6052631578947368,7,0,0,1.5451980014174016
fr_an.RAD,1997,577,6,RAD,1,4.1,0.17943548387096775,0.10685483870967742,20,0.45,0.15,1.110615511276457
fr_an.SOC,1986,577,3,SOC,0,3.2,0,0,4,0.5,0,0
fr_an.SOC,1997,577,6,SOC,1,3.2,0.044585987261146494,0.03343949044585987,19,0.7368421052631579,0.10526315789473684,0.8703380975172952
fr_an.SOC,2002,577,6,SOC,0,3.2,0.006517690875232775,0.00186219739292365,28,0.9642857142857143,0.10714285714285714,0.2507672945089375
fr_an.SOC,2007,577,6,SOC,0,3.2,0.07611086669599648,0.06951165860096789,56,0.5892857142857143,0.26785714285714285,1.177767726015603
fr_se.CEN,1986,348,3,CEN,1,6.1,0.2077922077922078,0.07142857142857142,20,0.9,0,0.7395432779087635
fr_se.CEN,1993,348,5,CEN,1,6.1,0.6110056925996205,0.03984819734345351,15,0.8666666666666667,0,0.884220319137401
fr_se.CEN,1997,348,6,CEN,0,6.1,0.6148837209302326,0.04093023255813953,22,0.9545454545454546,0.045454545454545456,0.8793240441578337
fr_se.CEN,2002,348,6,CEN,1,6.1,0.35667396061269147,0.030634573304157548,15,0.8666666666666667,0.2,0.8618987174369152
fr_se.CEN,2007,348,6,CEN,1,6.1,0.5892634207240949,0.039950062421972535,22,0.6818181818181818,0.36363636363636365,1.0857262287603475
fr_se.COM,1986,348,3,COM,0,1.4,0.008708272859216255,0,13,0.6923076923076923,0.3076923076923077,0.23700922896166535
fr_se.COM,1993,348,5,COM,0,1.4,0.02670856245090338,0,15,0.8666666666666667,0.26666666666666666,0.6144026090746489
fr_se.COM,1997,348,6,COM,1,1.4,0.06778711484593837,0.0067226890756302525,20,0.6,0.2,1.1630794265841364
fr_se.COM,2002,348,6,COM,0,1.4,0.061634349030470915,0.018005540166204988,18,0.8333333333333334,0.4444444444444444,1.5062641466127429
fr_se.COM,2007,348,6,COM,0,1.4,0.10131332082551595,7.5046904315197e-4,24,0.6666666666666666,0.625,0.9249790878713497
fr_se.DRO,1986,348,3,DRO,1,7.5,0.2571428571428571,0.06428571428571428,14,0.7142857142857143,0,1.1125216413696066
fr_se.DRO,1993,348,5,DRO,1,7.5,0.08970099667774087,0.019329507701600725,50,0.84,0.02,0.763132207348309
fr_se.DRO,1997,348,6,DRO,0,7.5,0.13893280632411067,0.034782608695652174,75,0.8533333333333334,0.013333333333333334,0.9225051305080699
fr_se.DRO,2002,348,6,DRO,1,7.5,0.06092916984006093,0.025514089870525513,46,0.8695652173913043,0.13043478260869565,0.6533111214024397
fr_se.DRO,2007,348,6,DRO,1,7.5,0.04435913840904244,0.008104073363190446,72,0.75,0.18055555555555555,0.4866740000409175
fr_se.ECO,2007,348,6,ECO,0,3.2,0.3983739837398374,0,5,0.4,0.4,0.10533703247651745
fr_se.RAD,1986,348,3,RAD,0,4.1,0.5925925925925926,0.4074074074074074,4,0.75,0,1.7427432829299985
fr_se.RAD,1993,348,5,RAD,0,4.1,0.5909090909090909,0.22727272727272727,6,1,0,1.689104376015169
fr_se.RAD,1997,348,6,RAD,1,4.1,0.7049180327868853,0.6639344262295082,6,1,0,1.6057395491121798
fr_se.RAD,2002,348,6,RAD,0,4.1,0.8372093023255814,0.13953488372093023,4,1,0,1.4998996382195653
fr_se.RAD,2007,348,6,RAD,0,4.1,0.09278350515463918,0.03350515463917526,10,0.8,0,1.18863368976721
fr_se.SOC,1986,348,3,SOC,0,3.2,0.09137055837563451,0,8,0.875,0,0.43244848717292816
fr_se.SOC,1993,348,5,SOC,0,3.2,0.10688140556368961,0.007320644216691069,18,0.8333333333333334,0.3333333333333333,0.6528356014498007
fr_se.SOC,1997,348,6,SOC,1,3.2,0.08784473953013279,0.0020429009193054137,17,0.8235294117647058,0.29411764705882354,0.4406549049454073
fr_se.SOC,2002,348,6,SOC,0,3.2,0.08020833333333334,0.010416666666666666,26,0.5769230769230769,0.15384615384615385,0.5085353006202512
fr_se.SOC,2007,348,6,SOC,0,3.2,0.06744186046511629,0.011839323467230444,54,0.6481481481481481,0.2777777777777778,0.6518205007795196
hu.FIDESZ,1998,384,5,FIDESZ,1,6.5,0.5277777777777778,0.125,19,0.47368421052631576,0.15789473684210525,1.6142716673078963
hu.FIDESZ,2002,384,5,FIDESZ,0,6.5,0.07707509881422925,0.021739130434782608,46,0.9347826086956522,0.08695652173913043,0.5387543785158264
hu.FIDESZ,2010,384,5,FIDESZ,1,6.5,0.14819427148194272,0,62,0.6451612903225806,0.04838709677419355,0.3091863079842398
hu.FIDESZ,2014,384,2,FIDESZ,1,6.5,0.11437908496732026,0.006535947712418301,28,0.9285714285714286,0.10714285714285714,0.3860610228985585
hu.FKGP,1998,384,5,FKGP,1,9,0.4444444444444444,0,9,0.1111111111111111,0.1111111111111111,1.2540783142613756
hu.JOBBIK,2010,384,5,JOBBIK,0,8.7,0,0,25,0.04,0.12,0
hu.JOBBIK,2014,384,2,JOBBIK,0,8.7,0,0,13,1,0.15384615384615385,0
hu.KDNP,2010,384,5,KDNP,1,7.4,0.509090909090909,0,12,0.4166666666666667,0,0.45311169051529976
hu.KDNP,2014,384,2,KDNP,1,7.4,0.6826347305389222,0,2,1,0,0.37026318691736965
hu.LMP,2010,384,5,LMP,0,2.6,0.023255813953488372,0,12,0,0.4166666666666667,0.05770691149147646
hu.LMP,2014,384,2,LMP,0,2.6,0,0,5,0.4,0.4,0
hu.MDF,1998,384,5,MDF,1,6.5,0.7777777777777778,0.05555555555555555,8,0.5,0,1.5362291495737217
hu.MDF,2002,384,5,MDF,0,6.5,0.015384615384615385,0,11,0.7272727272727273,0.09090909090909091,0
hu.MIÉP,1998,384,5,MIÉP,0,9.6,0,0,2,0.5,0,0
hu.MSZP,1998,384,5,MSZP,0,2.9,0.01990049751243781,0.009950248756218905,41,0.9024390243902439,0.14634146341463414,0.6070165551923677
hu.MSZP,2002,384,5,MSZP,1,2.9,0.15555555555555556,0.03492063492063492,48,0.6458333333333334,0.16666666666666666,0.7887973093381617
hu.MSZP,2010,384,5,MSZP,0,2.9,0.020512820512820513,0.005128205128205128,19,0.8421052631578947,0.05263157894736842,0.5044799302251776
hu.MSZP,2014,384,2,MSZP,0,2.9,0.014285714285714285,0.007142857142857143,13,0.8461538461538461,0.07692307692307693,0.7474889152360021
hu.SZDSZ,1998,384,5,SZDSZ,0,4,0.023809523809523808,0,9,1,0.2222222222222222,0.1975658322294524
hu.SZDSZ,2002,384,5,SZDSZ,1,4,0.7,0.325,9,0.7777777777777778,0,1.5598806086452621
ie_da.FF,1997,166,6,FF,1,6.1,0,0,2,1,0.5,0
ie_da.FG,1997,166,6,FG,0,6.4,0.3333333333333333,0,6,1,0,1.9333333333333333
ie_da.FG,2007,166,5,FG,0,6.4,0,0,5,1,0,0
ie_da.FG,2011,166,5,FG,1,6.4,1,1,1,0,0,3.394112549695428
ie_da.GP,2002,166,6,GP,0,2.4,0,0,4,0.25,0,0
ie_da.LAB,2007,166,5,LAB,0,3.6,0,0,2,1,0,0
ie_da.RENUA,2011,166,5,RENUA,0,6.4,0,0,1,1,1,0
ie_da.SF,2002,166,6,SF,0,1.3,0,0,2,0.5,0,0
ie_da.SF,2007,166,5,SF,0,1.3,0,0,1,1,0,0
ie_da.SF,2011,166,5,SF,0,1.3,0,0,4,0,0,0
ie_da.SOC,2011,166,5,SOC,0,1.3,0.4,0,2,0.5,0.5,0
ie_se.FF,2011,60,5,FF,0,6.1,0,0,7,0.8571428571428571,0.14285714285714285,0
ie_se.FG,2002,60,6,FG,0,6.4,0,0,2,1,0,0
ie_se.FG,2007,60,5,FG,0,6.4,0,0,2,0.5,0,0
ie_se.FG,2011,60,5,FG,1,6.4,0,0,3,0.3333333333333333,0.3333333333333333,0
ie_se.GP,2007,60,5,GP,1,2.4,0,0,2,0,0.5,0
ie_se.LAB,1997,60,6,LAB,0,3.6,0.06666666666666667,0,3,0.3333333333333333,0.3333333333333333,0.8442317648177382
ie_se.LAB,2007,60,5,LAB,0,3.6,0,0,4,0.25,0,0
ie_se.LAB,2011,60,5,LAB,1,3.6,0,0,1,0,1,0
ie_se.PD,2002,60,6,PD,1,8,0,0,1,0,0,0
ie_se.SF,2011,60,5,SF,0,1.3,0,0,1,0,0,0
il.JH,2015,120,1,JH,1,8.6,0.9353233830845771,0.8557213930348259,7,0.8571428571428571,0.2857142857142857,2.443538964642205
il.JL,2015,120,1,JL,0,1,0.35353535353535354,0,7,0.7142857142857143,0.2857142857142857,2.3224018231801535
il.KULANU,2015,120,1,KULANU,1,6,0.8850574712643678,0.8256704980842912,8,0,0.5,2.0686565487871387
il.LIKUD,2015,120,1,LIKUD,1,6.7,0.9065312716362797,0.7318255250403877,22,0.5,0.3181818181818182,2.3003278383500576
il.MERETZ,2015,120,1,MERETZ,0,1.8,0,0,2,1,0.5,0
il.SHAS,2015,120,1,SHAS,1,7,0.9370277078085643,0.9370277078085643,7,1,0,2.34812990425406
il.UTJ,2015,120,1,UTJ,0,6.9,0.8296943231441049,0,6,1,0,2.2895359465503655
il.YA,2015,120,1,YA,0,6,0.16883116883116883,0,8,0.875,0.375,2.0301730929791297
il.YB,2015,120,1,YB,0,8.7,0,0,3,1,0.6666666666666666,0
il.ZU,2015,120,1,ZU,0,4.7,0.7008064516129032,0,19,0.7368421052631579,0.3684210526315789,2.3402346160763834
is.BF,2013,63,3,BF,0,6,0.4087301587301587,0.17857142857142858,8,0.875,0.5,1.7560328670326486
is.F,1995,63,5,F,1,5,0.7228915662650602,0.3614457831325301,7,1,0.14285714285714285,1.5261359405671926
is.F,1999,63,5,F,1,5,0.7297297297297297,0.2972972972972973,6,0.8333333333333334,0.3333333333333333,1.934039210538551
is.F,2003,63,5,F,1,5,0.6666666666666666,0.3939393939393939,5,0.8,0.4,1.5395105042163866
is.F,2009,63,5,F,0,5,0.44776119402985076,0.25870646766169153,7,1,0.42857142857142855,1.6370862413696465
is.F,2013,63,3,F,1,5,0.4080717488789238,0.2556053811659193,8,1,0.5,1.521502128215151
is.FL,1999,63,5,FL,0,6.2,0.875,0.28125,2,1,0,2.4417049528808916
is.FL,2003,63,5,FL,0,6.2,0.6994219653179191,0.1676300578034682,5,0.8,0.2,1.9795124116193619
is.HR,2009,63,5,HR,0,6,0.38271604938271603,0.25925925925925924,4,0.75,0.5,1.7073054134781436
is.P,2013,63,3,P,0,2.6,0.4153846153846154,0.015384615384615385,5,0.6,0.4,1.7316303137631726
is.S,1995,63,5,S,1,7.5,0.4142538975501114,0.23385300668151449,18,1,0.16666666666666666,1.5378743704602302
is.S,1999,63,5,S,1,7.5,0.4875,0.2925,14,1,0.2857142857142857,1.9342640353608826
is.S,2003,63,5,S,1,7.5,0.35800344234079173,0.26161790017211706,11,0.9090909090909091,0.2727272727272727,1.9611211787943226
is.S,2009,63,5,S,0,7.5,0.2588105726872247,0.10903083700440529,18,0.9444444444444444,0.2222222222222222,1.468439092755029
is.S,2013,63,3,S,1,7.5,0.5667752442996743,0.26384364820846906,11,0.9090909090909091,0.09090909090909091,1.7914028066708034
is.SF,1995,63,5,SF,0,4.1,0.09571788413098237,0.09571788413098237,28,0.8571428571428571,0.4642857142857143,0.9990566107574975
is.SF,1999,63,5,SF,0,4.1,0.059447983014861996,0.020169851380042462,19,0.8421052631578947,0.3684210526315789,0.9085641652623574
is.SF,2003,63,5,SF,0,4.1,0.13891951488423374,0.05953693495038589,24,0.9583333333333334,0.375,1.062252252105521
is.SF,2009,63,5,SF,1,4.1,0.571656050955414,0.35668789808917195,20,0.95,0.5,2.03685966938082
is.SF,2013,63,3,SF,0,4.1,0.45454545454545453,0.14545454545454545,9,1,0.3333333333333333,1.5652304539111384
is.VG,1999,63,5,VG,0,1.2,0.44594594594594594,0.21621621621621623,6,1,0.3333333333333333,2.4965354144554515
is.VG,2003,63,5,VG,0,1.2,0.18324607329842932,0.04712041884816754,7,0.7142857142857143,0.42857142857142855,1.9481673265413804
is.VG,2009,63,5,VG,1,1.2,0.8023952095808383,0.4281437125748503,12,0.8333333333333334,0.5,2.1200987600058774
is.VG,2013,63,3,VG,0,1.2,0.6756756756756757,0.21621621621621623,9,0.7777777777777778,0.6666666666666666,2.068492910635256
it_ca.AN,2006,630,3,AN,0,8.1,0.28077592638647103,0.010196468540164138,57,0.6842105263157895,0.15789473684210525,1.2800556160908043
it_ca.DC,2006,630,3,DC,0,5.7,0.4423076923076923,0.07692307692307693,5,0.4,0,1.4543094144699307
it_ca.DEMSIN,1992,630,3,DEMSIN,0,2.6,0.12472587719298246,0.022203947368421052,75,0.5466666666666666,0.2,0.9315522483673319
it_ca.FI-PDL,2006,630,3,FI-PDL,0,7.1,0.2991394148020654,0.03390705679862306,88,0.6818181818181818,0.22727272727272727,1.4600062559889477
it_ca.FI-PDL,2008,630,6,FI-PDL,1,7.1,0.17606099110546378,0.15318932655654383,187,0.5989304812834224,0.2192513368983957,1.1539842503059088
it_ca.FLI-TP,2008,630,6,FLI-TP,0,7.4,0.7046095954844779,0.6284101599247413,20,0.65,0.15,1.114394121105355
it_ca.IDV,2006,630,3,IDV,1,4.9,0.5348432055749129,0.45121951219512196,16,0.125,0.0625,2.0536734807686896
it_ca.IDV,2008,630,6,IDV,0,4.9,0.27884900622960546,0.11776920795016316,20,0.5,0.1,1.727422991879374
it_ca.LN,1992,630,3,LN,0,7.8,0.003271537622682661,8.178844056706652e-4,39,0,0.10256410256410256,0.4129396960863064
it_ca.LN,2006,630,3,LN,0,7.8,0.17597292724196278,0.021996615905245348,16,0.5,0.0625,1.4525411176861842
it_ca.LN,2008,630,6,LN,1,7.8,0.08477619597281005,0.019751186353725792,56,0.42857142857142855,0.17857142857142858,0.7734168559633369
it_ca.MSI-DN,1992,630,3,MSI-DN,0,9.2,0.015606242496998799,0.0028011204481792717,25,0.68,0.04,1.2915657401135028
it_ca.PD,2006,630,3,PD,0,2.6,0.21076175869120656,0.1193762781186094,116,0.5517241379310345,0.27586206896551724,1.4891924947857085
it_ca.PD,2008,630,6,PD,0,2.6,0.11297360578969774,0.05140485312899106,173,0.5838150289017341,0.34104046242774566,1.492816958220453
it_ca.PDCI,2006,630,3,PDCI,0,1,0.327027027027027,0.11891891891891893,11,0.36363636363636365,0.18181818181818182,1.5317928207347735
it_ca.PLI,1992,630,3,PLI,1,6.5,0.22631578947368422,0.1736842105263158,9,0.7777777777777778,0,1.3876472820858203
it_ca.PPI,1992,630,3,PPI,0,4.6,0.060239885427855355,0.03150733977801647,110,0.7545454545454545,0.09090909090909091,0.602435920890543
it_ca.PRC,1992,630,3,PRC,0,0.9,0.0898876404494382,0.023876404494382022,24,0.25,0.16666666666666666,1.149874084489329
it_ca.PRC,2006,630,3,PRC,1,0.9,0.19756838905775076,0.14954407294832828,26,0.2692307692307692,0.4230769230769231,1.3638873012139974
it_ca.PRI,1992,630,3,PRI,0,5,0.11623246492985972,0.04008016032064128,17,0.6470588235294118,0.058823529411764705,0.6821262993441906
it_ca.PSDI,1992,630,3,PSDI,1,4.6,0.2139917695473251,0.14814814814814814,8,0.125,0,0.8007497763284682
it_ca.PSI,1992,630,3,PSI,1,3.8,0.26552567237163816,0.2449877750611247,50,0.78,0.04,1.0548803636949897
it_ca.PT,2008,630,6,PT,0,6.2,0.8984375,0.6328125,3,0.3333333333333333,0,1.7083902556177815
it_ca.RAD,1992,630,3,RAD,0,4,0.7682403433476395,0.0944206008583691,5,0.6,0,1.787922739949506
it_ca.RETE,1992,630,3,RETE,0,6.2,0.6788079470198676,0.1357615894039735,10,0.1,0.1,1.787009302996485
it_ca.RNP,2006,630,3,RNP,1,4,0.32967032967032966,0.27350427350427353,11,0.36363636363636365,0.09090909090909091,1.7395715926683812
it_ca.UDC,2006,630,3,UDC,0,6.1,0.32951289398280803,0.017191977077363897,26,0.6538461538461539,0.11538461538461539,1.2511735973840539
it_ca.UDC-TP,2008,630,6,UDC-TP,0,6.1,0.3513126491646778,0.10119331742243437,36,0.6944444444444444,0.08333333333333333,1.6799106110034772
it_ca.UDEUR,2006,630,3,UDEUR,1,5.3,0.5089686098654709,0.42937219730941706,11,0.18181818181818182,0.18181818181818182,1.920648208917392
it_ca.VERD,1992,630,3,VERD,0,2.4,0.39361702127659576,0.06382978723404255,16,0.375,0,1.8084909585058326
it_ca.VERD,2006,630,3,VERD,1,2.4,0.5060893098782138,0.3152909336941813,13,0.3076923076923077,0.3076923076923077,1.7595799500555853
it_se.AN,2006,323,3,AN,0,8.1,0.09044193216855087,0.008221993833504625,31,0.5161290322580645,0.03225806451612903,1.305047502941497
it_se.FI-PDL,2006,323,3,FI-PDL,0,7.1,0.3052407932011331,0.019830028328611898,36,0.5833333333333334,0.1111111111111111,1.3478240980228524
it_se.FI-PDL,2008,323,6,FI-PDL,1,7.1,0.12057198570035749,0.09749756256093597,111,0.6306306306306306,0.09009009009009009,1.2032711897672095
it_se.FLI-TP,2008,323,6,FLI-TP,0,7.4,0.8026315789473685,0.2236842105263158,4,0.25,0.5,2.2234724615416406
it_se.IDV,2008,323,6,IDV,0,4.9,0.06327683615819209,0.00903954802259887,12,0.16666666666666666,0.16666666666666666,1.2730689851586618
it_se.LN,2006,323,3,LN,0,7.8,0.4482758620689655,0.022988505747126436,8,0.625,0,1.9423963972231222
it_se.LN,2008,323,6,LN,1,7.8,0.09210526315789473,0.04784688995215311,22,0.36363636363636365,0.13636363636363635,1.396843208986475
it_se.MPA,2006,323,3,MPA,0,6.2,0.6953405017921147,0.017921146953405017,14,0.42857142857142855,0.21428571428571427,2.012943316643541
it_se.MPA,2008,323,6,MPA,0,6.2,0.5778443113772455,0.28592814371257486,9,0.4444444444444444,0.4444444444444444,2.0860172757940316
it_se.PD,2006,323,3,PD,0,2.6,0.2761493366244986,0.16476396174020363,66,0.42424242424242425,0.24242424242424243,1.777856408290728
it_se.PD,2008,323,6,PD,0,2.6,0.0951274304748625,0.052908823301572545,96,0.4375,0.34375,1.540766893734791
